chrom	start	end	GC
chr1	0	100000	
chr1	100000	200000	
chr1	200000	300000	
chr1	300000	400000	
chr1	400000	500000	
chr1	500000	600000	
chr1	600000	700000	
chr1	700000	800000	
chr1	800000	900000	
chr1	900000	1000000	
chr1	1000000	1100000	
chr1	1100000	1200000	
chr1	1200000	1300000	
chr1	1300000	1400000	
chr1	1400000	1500000	
chr1	1500000	1600000	
chr1	1600000	1700000	
chr1	1700000	1800000	
chr1	1800000	1900000	
chr1	1900000	2000000	
chr1	2000000	2100000	
chr1	2100000	2200000	
chr1	2200000	2300000	
chr1	2300000	2400000	
chr1	2400000	2500000	
chr1	2500000	2600000	
chr1	2600000	2700000	
chr1	2700000	2800000	
chr1	2800000	2900000	
chr1	2900000	3000000	
chr1	3000000	3100000	0.38962
chr1	3100000	3200000	0.38866
chr1	3200000	3300000	0.39002
chr1	3300000	3400000	0.38167
chr1	3400000	3500000	0.384
chr1	3500000	3600000	0.38218
chr1	3600000	3700000	0.38867
chr1	3700000	3800000	0.3906
chr1	3800000	3900000	0.38153
chr1	3900000	4000000	0.39196
chr1	4000000	4100000	0.38752
chr1	4100000	4200000	0.38667
chr1	4200000	4300000	0.38601
chr1	4300000	4400000	0.38104
chr1	4400000	4500000	0.4127
chr1	4500000	4600000	0.42007
chr1	4600000	4700000	0.41077
chr1	4700000	4800000	0.41348
chr1	4800000	4900000	0.40002
chr1	4900000	5000000	0.40803
chr1	5000000	5100000	0.40879
chr1	5100000	5200000	0.4061
chr1	5200000	5300000	0.40598
chr1	5300000	5400000	0.39155
chr1	5400000	5500000	0.38872
chr1	5500000	5600000	0.39088
chr1	5600000	5700000	0.38568
chr1	5700000	5800000	0.3847
chr1	5800000	5900000	0.38242
chr1	5900000	6000000	0.395
chr1	6000000	6100000	0.39163
chr1	6100000	6200000	0.40979
chr1	6200000	6300000	0.38422
chr1	6300000	6400000	0.40179
chr1	6400000	6500000	0.41103
chr1	6500000	6600000	0.38754
chr1	6600000	6700000	0.39435
chr1	6700000	6800000	0.37767
chr1	6800000	6900000	0.39706
chr1	6900000	7000000	0.39717
chr1	7000000	7100000	0.40878
chr1	7100000	7200000	0.39649
chr1	7200000	7300000	0.40028
chr1	7300000	7400000	0.40244
chr1	7400000	7500000	0.38101
chr1	7500000	7600000	0.3802
chr1	7600000	7700000	0.39329
chr1	7700000	7800000	0.3872
chr1	7800000	7900000	0.37957
chr1	7900000	8000000	0.3897
chr1	8000000	8100000	0.382
chr1	8100000	8200000	0.39267
chr1	8200000	8300000	0.38932
chr1	8300000	8400000	0.37249
chr1	8400000	8500000	0.36861
chr1	8500000	8600000	0.37108
chr1	8600000	8700000	0.38961
chr1	8700000	8800000	0.3806
chr1	8800000	8900000	0.38417
chr1	8900000	9000000	0.38222
chr1	9000000	9100000	0.37999
chr1	9100000	9200000	0.38001
chr1	9200000	9300000	0.38579
chr1	9300000	9400000	0.397
chr1	9400000	9500000	0.38938
chr1	9500000	9600000	0.4217
chr1	9600000	9700000	0.40693
chr1	9700000	9800000	0.40966
chr1	9800000	9900000	0.41475
chr1	9900000	10000000	0.4146
chr1	10000000	10100000	0.39774
chr1	10100000	10200000	0.39121
chr1	10200000	10300000	0.40724
chr1	10300000	10400000	0.40357
